Product Name,Original Price,Discounted price,Discount(%),Rating
LipiWorld AA59-00345A Compatible For  Crt Tv Remote Con...,499,288,42,5
Dish TV HD Remote with Recording Dish TV Remote Control...,649,222,65,4.2
VOLPRO UPTO 32'inch LED / LCD / SMART TV VOLTAGE STABIL...,"1,999",999,50,5
LipiWorld Home Theater Remote Compatible with RM-ANU156...,599,219,63,4
Daikin 1 Ton 5 Star Split Inverter AC  - White,"55,200","45,878",16,4.2
V-Guard Voltino Grand Digi 4 A Voltage Stabilizer,"4,940","3,875",21,5
VOLPRO LED / LCD / SMART TV UPTO 55'INCH Voltage Stabli...,"2,499","1,199",52,3
Tata Sky Universal Remote for SD and HD Set Top Box,449,199,55,4
Microtek EM4170+ ,"2,940","1,830",37,5
LipiWorld VC114 LX291 V-MT22 Slime LCD LED TV Remote Co...,499,299,40,1
VOLPRO Lcd / Led Tv / Smart TV Voltage Stablizer,"2,499","1,199",52,4.2
Dish TV Hd remote Dish tv Remote Controller,399,210,47,5
Daikin 1.5 Ton 5 Star Split Inverter AC  - White,"58,200","46,374",20,5
Technology Ahead TA  SAMSUNG 3D LED/LCD SMART REMOTE Re...,999,349,65,3.3
BLUECHIP BL43SmartTV TV Voltage Stabilizer for LED TV/S...,"2,850","1,230",56,4.2
V-Guard V 500 Supreme for 2 Ton A.C ,"3,950","2,250",43,3.7
blutech 4A LCD LED Smart TV Remote Control Compatible f...,999,268,73,4.2
EMM EMM 100% Compatible Remote Control for Your  SD Dth...,500,198,60,3.7
astigo compatible remote for i Smart TV Mi Remote Contr...,499,268,46,4.1
SINKUL Remote Control HD GTPL Remote Controller,499,215,56,4
Daikin 1 Ton 3 Star Window AC  - White,"27,990","25,990",7,4.1
Airtel Regular Digital TV DTH Remote Compatible with SD...,596,196,67,4.2
Candes A4170MS 4kVA for 1.5 Ton AC ,"2,500","1,677",32,4.3
Technology Ahead Remote Control for  D2h RF Box Videoco...,699,469,32,4.5
V-Guard VG 400 for 1.5 Ton A.C ,"2,499","1,774",29,4
SONY LED TV Sony Remote Controller,799,370,53,3.9
BLUECHIP 100% Copper BL72SmartTV3.2Amp TV Voltage Stabi...,"3,999","1,531",61,4.1
"Airtel Dth Settop Box Airtel TV, Airtel set up box, Air...",632,207,67,4.2
Daikin 1 Ton 5 Star Split Inverter with Anti Microbial ...,"55,200","44,878",18,4
V-Guard New VWR 400 Plus Digital Display For Inverter A...,"5,990","4,699",21,4.2
BLUECHIP 100% Copper Voltage Stabillizer for Refrigerat...,"2,999","1,580",47,4.2
Technology Ahead TA ONIDA TV REMOTE ONIDA GENIUNE TV RE...,999,249,75,4
FOX  LED TV SAMSUNG Remote Controller,799,379,52,4.2
selloria mi 100% original M.I LED Remote Control Compat...,"1,499",332,77,4.1
Crypo VE-36 with Holder Stand AC Remote Compatible LG R...,999,408,59,3.9
Tata Sky 100% Original Universal ,599,211,64,3.8
Tata Sky 100% Original Universal With USER MANUAL & WAR...,699,223,68,3.9
Techfab Smart TV Remote Control Compatible for  Smart T...,499,219,56,4.2
Tata Sky Original Universal,599,209,65,4.2
Airtel Universal Digital Tv DTH 100% Original HD Record...,599,202,66,4
subton Electrical Board Extension with 4 USB & Plug soc...,499,349,30,4.1
salfro unversal multiplug for ac tv 3  Socket Extension...,"2,999","1,380",53,3.7
Elegant Casa Rectangular Extension Board with 8 Socket ...,999,475,52,4.2
Elegant Casa Extension Board with 4 Socket 1 Switch Uni...,999,510,48,3.9
Daikin 0.8 Ton 3 Star Split with PM 2.5 Filter AC with ...,"28,600","24,490",14,4.2
Dish TV Universal ,499,209,58,4.1
V-Guard Mini Crystal Supreme TV Voltage Stabilizer for ...,"2,290","1,690",26,4.1
Airtel DTH 100% Genuine HD Recording Universal ,449,215,52,4.1
Techfab Smart TV Remote Control Compatible for  Smart T...,499,219,56,4.3
Tata Sky 100% Original Universal Box ,499,207,58,4.1
Candes 0390-SS Voltage Stabilizer for LCD/LED TV Upto 4...,"2,000","1,221",38,4
Elegant Casa Universal 3+3 Socket Hanging Extension Boa...,750,510,32,4
Axxiria 2 layer protection Waterproof-Dustproof led/lcd...,999,345,65,4.2
MVN CLEANER LCD SCREEN CLEANER 200 ML CLEAN/FLAT NORMAL...,499,265,46,5
astigo compatible remote for i Smart TV Mi Remote Contr...,499,268,46,5
